"data";"valor"
"01/03/2011";"8276"
"01/04/2011";"7837"
"01/05/2011";"8691"
"01/06/2011";"8193"
"01/07/2011";"8080"
"01/08/2011";"9305"
"01/09/2011";"8869"
"01/10/2011";"8241"
"01/11/2011";"8878"
"01/12/2011";"9289"
"01/01/2012";"7638"
"01/02/2012";"6765"
"01/03/2012";"7719"
"01/04/2012";"6651"
"01/05/2012";"7411"
"01/06/2012";"8416"
"01/07/2012";"8269"
"01/08/2012";"9456"
"01/09/2012";"6312"
"01/10/2012";"8198"
"01/11/2012";"7605"
"01/12/2012";"8409"
"01/01/2013";"7715"
"01/02/2013";"6466"
"01/03/2013";"7093"
"01/04/2013";"7663"
"01/05/2013";"7444"
"01/06/2013";"6958"
"01/07/2013";"7869"
"01/08/2013";"8265"
"01/09/2013";"7663"
"01/10/2013";"8668"
"01/11/2013";"8185"
"01/12/2013";"9462"
"01/01/2014";"8408"
"01/02/2014";"7228"
"01/03/2014";"6654"
"01/04/2014";"7589"
"01/05/2014";"7694"
"01/06/2014";"6853"
"01/07/2014";"7887"
"01/08/2014";"7664"
"01/09/2014";"8502"
"01/10/2014";"8654"
"01/11/2014";"8138"
"01/12/2014";"10125"
"01/01/2015";"7797"
"01/02/2015";"5961"
"01/03/2015";"7321"
"01/04/2015";"6537"
"01/05/2015";"6404"
"01/06/2015";"6703"
"01/07/2015";"6998"
"01/08/2015";"6403"
"01/09/2015";"6226"
"01/10/2015";"5943"
"01/11/2015";"6154"
"01/12/2015";"7098"
"01/01/2016";"5520"
"01/02/2016";"5199"
"01/03/2016";"5988"
"01/04/2016";"5270"
"01/05/2016";"5607"
"01/06/2016";"5891"
"01/07/2016";"5858"
"01/08/2016";"6378"
"01/09/2016";"5837"
"01/10/2016";"5991"
"01/11/2016";"6634"
"01/12/2016";"7231"
"01/01/2017";"6662"
"01/02/2017";"5772"
"01/03/2017";"7417"
"01/04/2017";"5909"
"01/05/2017";"7280"
"01/06/2017";"7010"
"01/07/2017";"7136"
"01/08/2017";"8110"
"01/09/2017";"7274"
"01/10/2017";"8021"
"01/11/2017";"8218"
"01/12/2017";"8483"
"01/01/2018";"8552"
"01/02/2018";"6926"
"01/03/2018";"8606"
"01/04/2018";"8462"
"01/05/2018";"8260"
"01/06/2018";"7452"
"01/07/2018";"8353"
"01/08/2018";"9419"
"01/09/2018";"8037"
"01/10/2018";"9386"
"01/11/2018";"9510"
"01/12/2018";"9540"
"01/01/2019";"9663"
"01/02/2019";"9006"
"01/03/2019";"8586"
"01/04/2019";"9823"
"01/05/2019";"10196"
"01/06/2019";"9118"
"01/07/2019";"11207"
"01/08/2019";"10921"
"01/09/2019";"10534"
"01/10/2019";"11652"
"01/11/2019";"11134"
"01/12/2019";"12133"
"01/01/2020";"11413"
"01/02/2020";"9399"
"01/03/2020";"8649"
"01/04/2020";"4338"
"01/05/2020";"6259"
"01/06/2020";"9096"
"01/07/2020";"10698"
"01/08/2020";"10819"
"01/09/2020";"11951"
"01/10/2020";"12272"
"01/11/2020";"12707"
"01/12/2020";"13915"
"01/01/2021";"10355"
"01/02/2021";"10932"
"01/03/2021";"11186"
"01/04/2021";"11058"
"01/05/2021";"11703"
"01/06/2021";"12581"
"01/07/2021";"13128"
"01/08/2021";"13319"
"01/09/2021";"12141"
"01/10/2021";"11747"
"01/11/2021";"11432"
"01/12/2021";"12443"
"01/01/2022";"10507"
"01/02/2022";"10357"
"01/03/2022";"11750"
"01/04/2022";"10565"
"01/05/2022";"12209"
"01/06/2022";"11584"
"01/07/2022";"10935"
"01/08/2022";"12577"
"01/09/2022";"11922"
"01/10/2022";"11589"
"01/11/2022";"11617"
"01/12/2022";"12034"
"01/01/2023";"11602"
"01/02/2023";"9954"
"01/03/2023";"13067"
"01/04/2023";"10451"
"01/05/2023";"12677"
"01/06/2023";"12703"
"01/07/2023";"13259"
"01/08/2023";"14493"
"01/09/2023";"13191"
"01/10/2023";"14504"
"01/11/2023";"15080"
"01/12/2023";"16398"
"01/01/2024";"16385"
"01/02/2024";"14721"
"01/03/2024";"15874"
"01/04/2024";"17688"
"01/05/2024";"16983"
"01/06/2024";"16826"
"01/07/2024";"19255"
"01/08/2024";"18244"
"01/09/2024";"18129"
"01/10/2024";"19929"
"01/11/2024";"18149"
"01/12/2024";"18610"
"01/01/2025";"16649"
"01/02/2025";"16000"
"01/03/2025";"15658"
"01/04/2025";"16550"
"01/05/2025";"17520"
"01/06/2025";"17244"
