"data";"valor"
"01/03/2011";"331"
"01/04/2011";"416"
"01/05/2011";"701"
"01/06/2011";"617"
"01/07/2011";"588"
"01/08/2011";"323"
"01/09/2011";"170"
"01/10/2011";"126"
"01/11/2011";"148"
"01/12/2011";"155"
"01/01/2012";"117"
"01/02/2012";"101"
"01/03/2012";"117"
"01/04/2012";"81"
"01/05/2012";"120"
"01/06/2012";"151"
"01/07/2012";"88"
"01/08/2012";"101"
"01/09/2012";"50"
"01/10/2012";"66"
"01/11/2012";"48"
"01/12/2012";"62"
"01/01/2013";"50"
"01/02/2013";"32"
"01/03/2013";"40"
"01/04/2013";"49"
"01/05/2013";"53"
"01/06/2013";"71"
"01/07/2013";"72"
"01/08/2013";"67"
"01/09/2013";"61"
"01/10/2013";"64"
"01/11/2013";"67"
"01/12/2013";"77"
"01/01/2014";"65"
"01/02/2014";"50"
"01/03/2014";"40"
"01/04/2014";"68"
"01/05/2014";"59"
"01/06/2014";"53"
"01/07/2014";"47"
"01/08/2014";"47"
"01/09/2014";"51"
"01/10/2014";"57"
"01/11/2014";"59"
"01/12/2014";"75"
"01/01/2015";"44"
"01/02/2015";"45"
"01/03/2015";"104"
"01/04/2015";"108"
"01/05/2015";"92"
"01/06/2015";"110"
"01/07/2015";"118"
"01/08/2015";"95"
"01/09/2015";"95"
"01/10/2015";"88"
"01/11/2015";"103"
"01/12/2015";"117"
"01/01/2016";"85"
"01/02/2016";"88"
"01/03/2016";"102"
"01/04/2016";"67"
"01/05/2016";"42"
"01/06/2016";"40"
"01/07/2016";"31"
"01/08/2016";"31"
"01/09/2016";"37"
"01/10/2016";"34"
"01/11/2016";"36"
"01/12/2016";"38"
"01/01/2017";"25"
"01/02/2017";"23"
"01/03/2017";"33"
"01/04/2017";"24"
"01/05/2017";"29"
"01/06/2017";"24"
"01/07/2017";"28"
"01/08/2017";"29"
"01/09/2017";"28"
"01/10/2017";"27"
"01/11/2017";"33"
"01/12/2017";"39"
"01/01/2018";"29"
"01/02/2018";"21"
"01/03/2018";"34"
"01/04/2018";"32"
"01/05/2018";"29"
"01/06/2018";"29"
"01/07/2018";"34"
"01/08/2018";"41"
"01/09/2018";"38"
"01/10/2018";"52"
"01/11/2018";"49"
"01/12/2018";"53"
"01/01/2019";"45"
"01/02/2019";"43"
"01/03/2019";"47"
"01/04/2019";"55"
"01/05/2019";"56"
"01/06/2019";"51"
"01/07/2019";"67"
"01/08/2019";"24"
"01/09/2019";"7"
"01/10/2019";"7"
"01/11/2019";"4"
"01/12/2019";"6"
"01/01/2020";"6"
"01/02/2020";"9"
"01/03/2020";"7"
"01/04/2020";"2"
"01/05/2020";"2"
"01/06/2020";"5"
"01/07/2020";"4"
"01/08/2020";"4"
"01/09/2020";"2"
"01/10/2020";"4"
"01/11/2020";"4"
"01/12/2020";"5"
"01/01/2021";"4"
"01/02/2021";"5"
"01/03/2021";"4"
"01/04/2021";"4"
"01/05/2021";"6"
"01/06/2021";"6"
"01/07/2021";"5"
"01/08/2021";"8"
"01/09/2021";"7"
"01/10/2021";"6"
"01/11/2021";"4"
"01/12/2021";"4"
"01/01/2022";"3"
"01/02/2022";"4"
"01/03/2022";"9"
"01/04/2022";"9"
"01/05/2022";"21"
"01/06/2022";"1"
"01/07/2022";"8"
"01/08/2022";"1"
"01/09/2022";"0"
"01/10/2022";"1"
"01/11/2022";"1"
"01/12/2022";"1"
"01/01/2023";"1"
"01/02/2023";"1"
"01/03/2023";"0"
"01/04/2023";"1"
"01/05/2023";"1"
"01/06/2023";"1"
"01/07/2023";"0"
"01/08/2023";"0"
"01/09/2023";"4"
"01/10/2023";"2"
"01/11/2023";"0"
"01/12/2023";"0"
"01/01/2024";"1"
"01/02/2024";"0"
"01/03/2024";"1"
"01/04/2024";"1"
"01/05/2024";"1"
"01/06/2024";"0"
"01/07/2024";"1"
"01/08/2024";"0"
"01/09/2024";"0"
"01/10/2024";"0"
"01/11/2024";"0"
"01/12/2024";"0"
"01/01/2025";"0"
"01/02/2025";"1"
"01/03/2025";"1"
"01/04/2025";"0"
"01/05/2025";"0"
"01/06/2025";"0"
