data;valor
01/03/2011;1084
01/04/2011;1031
01/05/2011;1148
01/06/2011;1202
01/07/2011;1220
01/08/2011;1324
01/09/2011;1280
01/10/2011;1144
01/11/2011;1224
01/12/2011;1357
01/01/2012;1030
01/02/2012;1011
01/03/2012;1323
01/04/2012;1131
01/05/2012;1210
01/06/2012;1250
01/07/2012;1140
01/08/2012;1243
01/09/2012;980
01/10/2012;1089
01/11/2012;1058
01/12/2012;1071
01/01/2013;854
01/02/2013;869
01/03/2013;997
01/04/2013;1175
01/05/2013;1176
01/06/2013;1085
01/07/2013;1076
01/08/2013;1138
01/09/2013;1102
01/10/2013;1161
01/11/2013;997
01/12/2013;1113
01/01/2014;834
01/02/2014;978
01/03/2014;984
01/04/2014;1006
01/05/2014;1100
01/06/2014;1010
01/07/2014;936
01/08/2014;1031
01/09/2014;1279
01/10/2014;1203
01/11/2014;1003
01/12/2014;1180
01/01/2015;701
01/02/2015;637
01/03/2015;914
01/04/2015;827
01/05/2015;776
01/06/2015;772
01/07/2015;836
01/08/2015;802
01/09/2015;792
01/10/2015;758
01/11/2015;767
01/12/2015;852
01/01/2016;566
01/02/2016;634
01/03/2016;708
01/04/2016;678
01/05/2016;669
01/06/2016;802
01/07/2016;810
01/08/2016;896
01/09/2016;765
01/10/2016;668
01/11/2016;717
01/12/2016;857
01/01/2017;606
01/02/2017;663
01/03/2017;919
01/04/2017;792
01/05/2017;963
01/06/2017;983
01/07/2017;956
01/08/2017;1156
01/09/2017;1103
01/10/2017;1214
01/11/2017;1224
01/12/2017;1328
01/01/2018;1187
01/02/2018;1200
01/03/2018;1703
01/04/2018;1790
01/05/2018;1655
01/06/2018;1539
01/07/2018;1705
01/08/2018;2084
01/09/2018;1764
01/10/2018;2061
01/11/2018;2027
01/12/2018;2194
01/01/2019;1691
01/02/2019;2138
01/03/2019;2433
01/04/2019;2905
01/05/2019;3122
01/06/2019;2763
01/07/2019;3147
01/08/2019;3361
01/09/2019;3584
01/10/2019;3865
01/11/2019;3596
01/12/2019;3632
01/01/2020;2674
01/02/2020;2783
01/03/2020;3217
01/04/2020;1351
01/05/2020;1673
01/06/2020;2549
01/07/2020;3253
01/08/2020;2873
01/09/2020;3231
01/10/2020;3120
01/11/2020;3592
01/12/2020;4044
01/01/2021;2158
01/02/2021;3266
01/03/2021;4782
01/04/2021;4440
01/05/2021;4793
01/06/2021;4914
01/07/2021;4923
01/08/2021;5525
01/09/2021;4838
01/10/2021;4653
01/11/2021;4243
01/12/2021;5192
01/01/2022;3154
01/02/2022;4028
01/03/2022;4588
01/04/2022;3881
01/05/2022;4826
01/06/2022;4723
01/07/2022;4966
01/08/2022;5663
01/09/2022;5554
01/10/2022;4867
01/11/2022;4771
01/12/2022;5433
01/01/2023;3684
01/02/2023;3652
01/03/2023;4931
01/04/2023;3785
01/05/2023;4405
01/06/2023;4220
01/07/2023;4408
01/08/2023;5279
01/09/2023;4910
01/10/2023;5186
01/11/2023;4888
01/12/2023;5127
01/01/2024;3819
01/02/2024;4396
01/03/2024;4886
01/04/2024;5335
01/05/2024;4832
01/06/2024;4912
01/07/2024;5270
01/08/2024;5752
01/09/2024;5698
01/10/2024;5763
01/11/2024;5240
01/12/2024;5514
01/01/2025;3501
01/02/2025;4378
01/03/2025;4604
01/04/2025;4863
01/05/2025;4738
01/06/2025;4804
