"data";"valor"
"01/03/2011";"499"
"01/04/2011";"471"
"01/05/2011";"546"
"01/06/2011";"472"
"01/07/2011";"451"
"01/08/2011";"422"
"01/09/2011";"390"
"01/10/2011";"362"
"01/11/2011";"364"
"01/12/2011";"409"
"01/01/2012";"335"
"01/02/2012";"347"
"01/03/2012";"382"
"01/04/2012";"341"
"01/05/2012";"316"
"01/06/2012";"282"
"01/07/2012";"302"
"01/08/2012";"260"
"01/09/2012";"268"
"01/10/2012";"297"
"01/11/2012";"227"
"01/12/2012";"243"
"01/01/2013";"184"
"01/02/2013";"164"
"01/03/2013";"193"
"01/04/2013";"266"
"01/05/2013";"261"
"01/06/2013";"243"
"01/07/2013";"250"
"01/08/2013";"254"
"01/09/2013";"247"
"01/10/2013";"257"
"01/11/2013";"211"
"01/12/2013";"261"
"01/01/2014";"164"
"01/02/2014";"167"
"01/03/2014";"230"
"01/04/2014";"216"
"01/05/2014";"220"
"01/06/2014";"245"
"01/07/2014";"228"
"01/08/2014";"225"
"01/09/2014";"220"
"01/10/2014";"235"
"01/11/2014";"230"
"01/12/2014";"305"
"01/01/2015";"236"
"01/02/2015";"124"
"01/03/2015";"146"
"01/04/2015";"161"
"01/05/2015";"159"
"01/06/2015";"161"
"01/07/2015";"132"
"01/08/2015";"213"
"01/09/2015";"154"
"01/10/2015";"117"
"01/11/2015";"132"
"01/12/2015";"209"
"01/01/2016";"112"
"01/02/2016";"90"
"01/03/2016";"153"
"01/04/2016";"127"
"01/05/2016";"106"
"01/06/2016";"121"
"01/07/2016";"110"
"01/08/2016";"121"
"01/09/2016";"111"
"01/10/2016";"112"
"01/11/2016";"158"
"01/12/2016";"124"
"01/01/2017";"79"
"01/02/2017";"90"
"01/03/2017";"120"
"01/04/2017";"128"
"01/05/2017";"197"
"01/06/2017";"108"
"01/07/2017";"149"
"01/08/2017";"134"
"01/09/2017";"104"
"01/10/2017";"133"
"01/11/2017";"119"
"01/12/2017";"183"
"01/01/2018";"100"
"01/02/2018";"142"
"01/03/2018";"135"
"01/04/2018";"130"
"01/05/2018";"103"
"01/06/2018";"88"
"01/07/2018";"107"
"01/08/2018";"111"
"01/09/2018";"126"
"01/10/2018";"134"
"01/11/2018";"91"
"01/12/2018";"134"
"01/01/2019";"83"
"01/02/2019";"83"
"01/03/2019";"142"
"01/04/2019";"130"
"01/05/2019";"104"
"01/06/2019";"98"
"01/07/2019";"159"
"01/08/2019";"165"
"01/09/2019";"159"
"01/10/2019";"219"
"01/11/2019";"120"
"01/12/2019";"151"
"01/01/2020";"69"
"01/02/2020";"119"
"01/03/2020";"95"
"01/04/2020";"22"
"01/05/2020";"17"
"01/06/2020";"36"
"01/07/2020";"72"
"01/08/2020";"80"
"01/09/2020";"51"
"01/10/2020";"38"
"01/11/2020";"31"
"01/12/2020";"92"
"01/01/2021";"36"
"01/02/2021";"52"
"01/03/2021";"82"
"01/04/2021";"82"
"01/05/2021";"82"
"01/06/2021";"78"
"01/07/2021";"85"
"01/08/2021";"88"
"01/09/2021";"82"
"01/10/2021";"57"
"01/11/2021";"133"
"01/12/2021";"131"
"01/01/2022";"117"
"01/02/2022";"84"
"01/03/2022";"149"
"01/04/2022";"100"
"01/05/2022";"64"
"01/06/2022";"67"
"01/07/2022";"107"
"01/08/2022";"75"
"01/09/2022";"84"
"01/10/2022";"81"
"01/11/2022";"91"
"01/12/2022";"153"
"01/01/2023";"66"
"01/02/2023";"49"
"01/03/2023";"80"
"01/04/2023";"79"
"01/05/2023";"55"
"01/06/2023";"85"
"01/07/2023";"81"
"01/08/2023";"94"
"01/09/2023";"96"
"01/10/2023";"85"
"01/11/2023";"93"
"01/12/2023";"126"
"01/01/2024";"72"
"01/02/2024";"79"
"01/03/2024";"121"
"01/04/2024";"101"
"01/05/2024";"128"
"01/06/2024";"119"
"01/07/2024";"152"
"01/08/2024";"213"
"01/09/2024";"99"
"01/10/2024";"197"
"01/11/2024";"135"
"01/12/2024";"136"
"01/01/2025";"215"
"01/02/2025";"92"
"01/03/2025";"224"
"01/04/2025";"138"
"01/05/2025";"122"
"01/06/2025";"141"
