data,valor
01/03/2011,3.66
01/04/2011,3.95
01/05/2011,4.29
01/06/2011,4.49
01/07/2011,4.75
01/08/2011,5.00
01/09/2011,5.23
01/10/2011,5.55
01/11/2011,5.79
01/12/2011,5.98
01/01/2012,6.26
01/02/2012,6.57
01/03/2012,6.69
01/04/2012,6.98
01/05/2012,7.19
01/06/2012,7.23
01/07/2012,7.22
01/08/2012,7.00
01/09/2012,7.08
01/10/2012,7.02
01/11/2012,6.76
01/12/2012,6.43
01/01/2013,6.43
01/02/2013,6.40
01/03/2013,6.32
01/04/2013,6.29
01/05/2013,6.25
01/06/2013,6.08
01/07/2013,5.95
01/08/2013,5.79
01/09/2013,5.68
01/10/2013,5.36
01/11/2013,5.26
01/12/2013,5.18
01/01/2014,5.15
01/02/2014,5.07
01/03/2014,5.04
01/04/2014,4.96
01/05/2014,4.99
01/06/2014,4.89
01/07/2014,4.77
01/08/2014,4.61
01/09/2014,4.42
01/10/2014,4.24
01/11/2014,4.06
01/12/2014,3.91
01/01/2015,3.94
01/02/2015,3.89
01/03/2015,3.88
01/04/2015,3.87
01/05/2015,3.91
01/06/2015,3.95
01/07/2015,3.89
01/08/2015,3.93
01/09/2015,4.12
01/10/2015,4.02
01/11/2015,4.09
01/12/2015,4.24
01/01/2016,4.33
01/02/2016,4.41
01/03/2016,4.42
01/04/2016,4.51
01/05/2016,4.66
01/06/2016,4.61
01/07/2016,4.63
01/08/2016,4.58
01/09/2016,4.64
01/10/2016,4.66
01/11/2016,4.72
01/12/2016,4.62
01/01/2017,4.65
01/02/2017,4.61
01/03/2017,4.54
01/04/2017,4.48
01/05/2017,4.50
01/06/2017,4.36
01/07/2017,4.23
01/08/2017,4.06
01/09/2017,3.95
01/10/2017,3.84
01/11/2017,3.84
01/12/2017,3.78
01/01/2018,3.79
01/02/2018,3.71
01/03/2018,3.63
01/04/2018,3.61
01/05/2018,3.66
01/06/2018,3.65
01/07/2018,3.64
01/08/2018,3.52
01/09/2018,3.48
01/10/2018,3.40
01/11/2018,3.36
01/12/2018,3.35
01/01/2019,3.34
01/02/2019,3.24
01/03/2019,3.27
01/04/2019,3.25
01/05/2019,3.31
01/06/2019,3.33
01/07/2019,3.37
01/08/2019,3.34
01/09/2019,3.37
01/10/2019,3.34
01/11/2019,3.38
01/12/2019,3.45
01/01/2020,3.52
01/02/2020,3.60
01/03/2020,3.78
01/04/2020,4.21
01/05/2020,4.54
01/06/2020,4.28
01/07/2020,3.96
01/08/2020,3.65
01/09/2020,3.48
01/10/2020,3.26
01/11/2020,3.13
01/12/2020,3.05
01/01/2021,3.06
01/02/2021,3.01
01/03/2021,3.07
01/04/2021,3.18
01/05/2021,3.34
01/06/2021,3.36
01/07/2021,3.39
01/08/2021,3.40
01/09/2021,3.42
01/10/2021,3.51
01/11/2021,3.67
01/12/2021,3.76
01/01/2022,3.97
01/02/2022,4.05
01/03/2022,4.25
01/04/2022,4.47
01/05/2022,4.77
01/06/2022,4.79
01/07/2022,4.95
01/08/2022,5.10
01/09/2022,5.18
01/10/2022,5.35
01/11/2022,5.49
01/12/2022,5.40
01/01/2023,5.53
01/02/2023,5.60
01/03/2023,5.46
01/04/2023,5.50
01/05/2023,5.65
01/06/2023,5.51
01/07/2023,5.45
01/08/2023,5.39
01/09/2023,5.31
01/10/2023,5.30
01/11/2023,5.37
01/12/2023,5.19
01/01/2024,5.14
01/02/2024,5.01
01/03/2024,4.86
01/04/2024,4.78
01/05/2024,4.80
01/06/2024,4.53
01/07/2024,4.62
01/08/2024,4.56
01/09/2024,4.52
01/10/2024,4.45
01/11/2024,4.35
01/12/2024,4.19
01/01/2025,4.37
01/02/2025,4.44
01/03/2025,4.73
01/04/2025,4.88
01/05/2025,5.15
01/06/2025,5.15
