data;valor
01/03/2011;6.50
01/04/2011;6.47
01/05/2011;6.61
01/06/2011;6.76
01/07/2011;6.84
01/08/2011;6.86
01/09/2011;6.92
01/10/2011;7.13
01/11/2011;7.34
01/12/2011;7.50
01/01/2012;7.93
01/02/2012;8.36
01/03/2012;8.67
01/04/2012;8.82
01/05/2012;9.05
01/06/2012;9.13
01/07/2012;9.25
01/08/2012;9.16
01/09/2012;9.38
01/10/2012;9.57
01/11/2012;9.71
01/12/2012;9.90
01/01/2013;10.08
01/02/2013;10.20
01/03/2013;10.00
01/04/2013;10.24
01/05/2013;10.51
01/06/2013;10.68
01/07/2013;10.73
01/08/2013;10.76
01/09/2013;10.89
01/10/2013;11.00
01/11/2013;11.28
01/12/2013;11.59
01/01/2014;11.58
01/02/2014;11.87
01/03/2014;11.28
01/04/2014;11.25
01/05/2014;11.51
01/06/2014;11.36
01/07/2014;11.14
01/08/2014;10.73
01/09/2014;10.33
01/10/2014;10.05
01/11/2014;9.60
01/12/2014;9.46
01/01/2015;8.94
01/02/2015;9.02
01/03/2015;8.31
01/04/2015;7.83
01/05/2015;7.35
01/06/2015;7.13
01/07/2015;6.78
01/08/2015;6.45
01/09/2015;6.12
01/10/2015;6.05
01/11/2015;5.86
01/12/2015;5.81
01/01/2016;5.48
01/02/2016;5.09
01/03/2016;4.64
01/04/2016;4.59
01/05/2016;4.53
01/06/2016;4.31
01/07/2016;4.22
01/08/2016;4.07
01/09/2016;4.03
01/10/2016;3.97
01/11/2016;3.93
01/12/2016;3.81
01/01/2017;3.79
01/02/2017;3.64
01/03/2017;3.66
01/04/2017;3.60
01/05/2017;3.47
01/06/2017;3.21
01/07/2017;3.02
01/08/2017;2.81
01/09/2017;2.57
01/10/2017;2.62
01/11/2017;2.44
01/12/2017;2.30
01/01/2018;2.29
01/02/2018;2.34
01/03/2018;2.17
01/04/2018;2.17
01/05/2018;2.25
01/06/2018;2.25
01/07/2018;2.06
01/08/2018;1.82
01/09/2018;1.79
01/10/2018;1.77
01/11/2018;1.68
01/12/2018;1.57
01/01/2019;1.72
01/02/2019;1.62
01/03/2019;1.65
01/04/2019;1.66
01/05/2019;1.63
01/06/2019;1.58
01/07/2019;1.58
01/08/2019;1.60
01/09/2019;1.72
01/10/2019;1.76
01/11/2019;1.92
01/12/2019;2.11
01/01/2020;2.20
01/02/2020;2.38
01/03/2020;2.65
01/04/2020;3.13
01/05/2020;3.69
01/06/2020;4.40
01/07/2020;4.58
01/08/2020;4.51
01/09/2020;4.53
01/10/2020;4.68
01/11/2020;4.61
01/12/2020;4.59
01/01/2021;4.63
01/02/2021;4.64
01/03/2021;4.44
01/04/2021;4.32
01/05/2021;4.75
01/06/2021;4.55
01/07/2021;4.78
01/08/2021;4.19
01/09/2021;3.81
01/10/2021;3.78
01/11/2021;3.93
01/12/2021;3.61
01/01/2022;3.79
01/02/2022;3.55
01/03/2022;3.94
01/04/2022;3.61
01/05/2022;3.84
01/06/2022;4.46
01/07/2022;3.93
01/08/2022;4.10
01/09/2022;4.10
01/10/2022;4.10
01/11/2022;3.76
01/12/2022;3.35
01/01/2023;3.07
01/02/2023;3.48
01/03/2023;3.27
01/04/2023;3.12
01/05/2023;2.56
01/06/2023;2.36
01/07/2023;2.26
01/08/2023;1.87
01/09/2023;1.81
01/10/2023;1.39
01/11/2023;1.38
01/12/2023;1.30
01/01/2024;0.43
01/02/2024;0.37
01/03/2024;1.42
01/04/2024;1.32
01/05/2024;1.08
01/06/2024;0.84
01/07/2024;0.91
01/08/2024;0.93
01/09/2024;0.86
01/10/2024;1.15
01/11/2024;5.78
01/12/2024;8.14
01/01/2025;8.99
01/02/2025;8.96
01/03/2025;7.20
01/04/2025;7.50
01/05/2025;8.03
01/06/2025;8.22
