data;valor
01/03/2011;3.46
01/04/2011;3.41
01/05/2011;3.49
01/06/2011;3.42
01/07/2011;3.44
01/08/2011;3.64
01/09/2011;3.83
01/10/2011;3.83
01/11/2011;3.87
01/12/2011;4.04
01/01/2012;4.24
01/02/2012;4.35
01/03/2012;4.29
01/04/2012;4.35
01/05/2012;4.49
01/06/2012;4.45
01/07/2012;4.38
01/08/2012;4.38
01/09/2012;4.43
01/10/2012;4.50
01/11/2012;4.47
01/12/2012;4.58
01/01/2013;4.70
01/02/2013;4.91
01/03/2013;4.79
01/04/2013;4.73
01/05/2013;4.82
01/06/2013;4.70
01/07/2013;4.64
01/08/2013;4.62
01/09/2013;4.57
01/10/2013;4.40
01/11/2013;4.32
01/12/2013;4.27
01/01/2014;4.38
01/02/2014;4.26
01/03/2014;4.32
01/04/2014;4.30
01/05/2014;4.45
01/06/2014;4.32
01/07/2014;4.26
01/08/2014;4.22
01/09/2014;4.08
01/10/2014;4.05
01/11/2014;3.99
01/12/2014;4.06
01/01/2015;4.26
01/02/2015;4.18
01/03/2015;4.24
01/04/2015;4.33
01/05/2015;4.39
01/06/2015;4.43
01/07/2015;4.31
01/08/2015;4.38
01/09/2015;4.38
01/10/2015;4.58
01/11/2015;4.78
01/12/2015;4.92
01/01/2016;5.03
01/02/2016;5.26
01/03/2016;5.45
01/04/2016;5.47
01/05/2016;5.78
01/06/2016;5.57
01/07/2016;5.25
01/08/2016;5.03
01/09/2016;5.13
01/10/2016;5.16
01/11/2016;5.15
01/12/2016;5.00
01/01/2017;4.92
01/02/2017;4.71
01/03/2017;4.49
01/04/2017;4.26
01/05/2017;4.18
01/06/2017;3.84
01/07/2017;3.69
01/08/2017;3.38
01/09/2017;3.13
01/10/2017;2.96
01/11/2017;2.88
01/12/2017;2.67
01/01/2018;2.76
01/02/2018;2.70
01/03/2018;2.49
01/04/2018;2.03
01/05/2018;1.89
01/06/2018;1.81
01/07/2018;1.72
01/08/2018;1.58
01/09/2018;1.43
01/10/2018;1.25
01/11/2018;1.17
01/12/2018;1.12
01/01/2019;1.13
01/02/2019;1.08
01/03/2019;1.03
01/04/2019;1.01
01/05/2019;1.01
01/06/2019;0.97
01/07/2019;0.95
01/08/2019;0.95
01/09/2019;0.99
01/10/2019;0.88
01/11/2019;0.83
01/12/2019;0.89
01/01/2020;0.98
01/02/2020;0.98
01/03/2020;1.08
01/04/2020;1.32
01/05/2020;1.39
01/06/2020;1.34
01/07/2020;1.19
01/08/2020;1.07
01/09/2020;0.98
01/10/2020;0.90
01/11/2020;0.88
01/12/2020;0.86
01/01/2021;0.98
01/02/2021;0.97
01/03/2021;0.95
01/04/2021;0.95
01/05/2021;1.00
01/06/2021;0.97
01/07/2021;0.90
01/08/2021;0.85
01/09/2021;0.80
01/10/2021;0.85
01/11/2021;0.81
01/12/2021;0.85
01/01/2022;0.95
01/02/2022;0.94
01/03/2022;1.04
01/04/2022;1.08
01/05/2022;1.25
01/06/2022;1.32
01/07/2022;1.36
01/08/2022;1.46
01/09/2022;1.43
01/10/2022;1.45
01/11/2022;1.53
01/12/2022;1.58
01/01/2023;1.70
01/02/2023;1.80
01/03/2023;1.86
01/04/2023;1.90
01/05/2023;2.04
01/06/2023;2.00
01/07/2023;2.03
01/08/2023;2.00
01/09/2023;1.93
01/10/2023;1.89
01/11/2023;1.91
01/12/2023;1.92
01/01/2024;2.05
01/02/2024;2.09
01/03/2024;2.11
01/04/2024;2.16
01/05/2024;2.31
01/06/2024;2.36
01/07/2024;2.35
01/08/2024;2.44
01/09/2024;2.41
01/10/2024;2.32
01/11/2024;2.27
01/12/2024;2.33
01/01/2025;2.61
01/02/2025;2.77
01/03/2025;2.89
01/04/2025;3.10
01/05/2025;3.33
01/06/2025;3.36
