data;valor
01/03/2011;4.51
01/04/2011;4.57
01/05/2011;4.80
01/06/2011;4.76
01/07/2011;4.69
01/08/2011;4.36
01/09/2011;4.31
01/10/2011;4.38
01/11/2011;4.51
01/12/2011;4.70
01/01/2012;4.88
01/02/2012;4.99
01/03/2012;5.50
01/04/2012;5.62
01/05/2012;5.75
01/06/2012;5.33
01/07/2012;5.52
01/08/2012;5.26
01/09/2012;5.18
01/10/2012;5.03
01/11/2012;4.89
01/12/2012;4.97
01/01/2013;4.99
01/02/2013;5.12
01/03/2013;4.87
01/04/2013;4.70
01/05/2013;4.48
01/06/2013;4.34
01/07/2013;4.62
01/08/2013;4.43
01/09/2013;4.21
01/10/2013;4.29
01/11/2013;4.28
01/12/2013;4.20
01/01/2014;4.31
01/02/2014;3.97
01/03/2014;3.64
01/04/2014;3.55
01/05/2014;3.57
01/06/2014;3.26
01/07/2014;3.58
01/08/2014;3.05
01/09/2014;2.79
01/10/2014;2.96
01/11/2014;2.86
01/12/2014;2.73
01/01/2015;2.95
01/02/2015;3.27
01/03/2015;3.50
01/04/2015;3.73
01/05/2015;3.90
01/06/2015;3.64
01/07/2015;3.59
01/08/2015;3.39
01/09/2015;3.18
01/10/2015;3.32
01/11/2015;3.29
01/12/2015;3.44
01/01/2016;3.07
01/02/2016;3.06
01/03/2016;3.61
01/04/2016;3.83
01/05/2016;3.69
01/06/2016;4.24
01/07/2016;4.48
01/08/2016;4.06
01/09/2016;3.96
01/10/2016;4.19
01/11/2016;4.23
01/12/2016;3.57
01/01/2017;3.82
01/02/2017;3.44
01/03/2017;3.60
01/04/2017;3.62
01/05/2017;4.22
01/06/2017;3.79
01/07/2017;3.13
01/08/2017;2.82
01/09/2017;2.37
01/10/2017;2.15
01/11/2017;2.14
01/12/2017;2.00
01/01/2018;1.59
01/02/2018;1.47
01/03/2018;1.62
01/04/2018;1.12
01/05/2018;0.92
01/06/2018;0.99
01/07/2018;1.02
01/08/2018;1.17
01/09/2018;0.92
01/10/2018;0.99
01/11/2018;2.61
01/12/2018;2.94
01/01/2019;3.03
01/02/2019;1.17
01/03/2019;0.83
01/04/2019;0.84
01/05/2019;0.60
01/06/2019;0.58
01/07/2019;0.66
01/08/2019;2.36
01/09/2019;2.32
01/10/2019;2.37
01/11/2019;2.36
01/12/2019;2.22
01/01/2020;0.84
01/02/2020;0.83
01/03/2020;0.81
01/04/2020;2.23
01/05/2020;2.16
01/06/2020;2.12
01/07/2020;0.37
01/08/2020;0.30
01/09/2020;0.36
01/10/2020;0.37
01/11/2020;0.40
01/12/2020;0.33
01/01/2021;0.45
01/02/2021;0.39
01/03/2021;0.44
01/04/2021;0.47
01/05/2021;0.56
01/06/2021;0.54
01/07/2021;0.39
01/08/2021;0.37
01/09/2021;0.47
01/10/2021;0.26
01/11/2021;0.23
01/12/2021;0.17
01/01/2022;0.31
01/02/2022;0.54
01/03/2022;0.62
01/04/2022;1.02
01/05/2022;1.09
01/06/2022;1.16
01/07/2022;1.28
01/08/2022;1.25
01/09/2022;1.17
01/10/2022;1.01
01/11/2022;0.49
01/12/2022;0.53
01/01/2023;0.53
01/02/2023;0.54
01/03/2023;0.47
01/04/2023;0.46
01/05/2023;0.36
01/06/2023;0.23
01/07/2023;0.25
01/08/2023;0.22
01/09/2023;0.20
01/10/2023;0.14
01/11/2023;0.10
01/12/2023;0.08
01/01/2024;0.08
01/02/2024;0.09
01/03/2024;0.15
01/04/2024;0.12
01/05/2024;0.38
01/06/2024;0.45
01/07/2024;0.42
01/08/2024;0.26
01/09/2024;0.49
01/10/2024;0.46
01/11/2024;0.42
01/12/2024;0.43
01/01/2025;0.44
01/02/2025;0.57
01/03/2025;0.56
01/04/2025;0.66
01/05/2025;0.72
01/06/2025;0.74
