data;valor
01/01/2013;17.90
01/02/2013;17.86
01/03/2013;17.64
01/04/2013;17.53
01/05/2013;17.41
01/06/2013;17.22
01/07/2013;17.06
01/08/2013;16.92
01/09/2013;16.75
01/10/2013;16.55
01/11/2013;16.37
01/12/2013;16.17
01/01/2014;16.03
01/02/2014;15.96
01/03/2014;15.94
01/04/2014;15.91
01/05/2014;15.86
01/06/2014;15.79
01/07/2014;15.73
01/08/2014;15.71
01/09/2014;15.71
01/10/2014;15.73
01/11/2014;15.75
01/12/2014;15.71
01/01/2015;15.66
01/02/2015;15.63
01/03/2015;15.71
01/04/2015;15.82
01/05/2015;15.94
01/06/2015;16.06
01/07/2015;16.21
01/08/2015;16.32
01/09/2015;16.45
01/10/2015;16.62
01/11/2015;16.80
01/12/2015;16.99
01/01/2016;17.18
01/02/2016;17.39
01/03/2016;17.62
01/04/2016;17.73
01/05/2016;17.79
01/06/2016;17.82
01/07/2016;17.84
01/08/2016;17.89
01/09/2016;17.93
01/10/2016;17.91
01/11/2016;17.87
01/12/2016;17.83
01/01/2017;17.82
01/02/2017;17.81
01/03/2017;17.79
01/04/2017;17.78
01/05/2017;17.81
01/06/2017;17.86
01/07/2017;17.85
01/08/2017;17.85
01/09/2017;17.81
01/10/2017;17.82
01/11/2017;17.75
01/12/2017;17.69
01/01/2018;17.65
01/02/2018;17.61
01/03/2018;17.49
01/04/2018;17.35
01/05/2018;17.22
01/06/2018;17.08
01/07/2018;16.95
01/08/2018;16.86
01/09/2018;16.74
01/10/2018;16.61
01/11/2018;16.47
01/12/2018;16.38
01/01/2019;16.35
01/02/2019;16.33
01/03/2019;16.25
01/04/2019;16.16
01/05/2019;16.09
01/06/2019;16.05
01/07/2019;15.92
01/08/2019;15.91
01/09/2019;15.97
01/10/2019;15.98
01/11/2019;16.02
01/12/2019;16.14
01/01/2020;16.21
01/02/2020;16.28
01/03/2020;16.35
01/04/2020;16.51
01/05/2020;16.55
01/06/2020;16.64
01/07/2020;16.82
01/08/2020;16.62
01/09/2020;16.66
01/10/2020;16.73
01/11/2020;16.81
01/12/2020;16.93
01/01/2021;17.02
01/02/2021;17.15
01/03/2021;17.27
01/04/2021;17.37
01/05/2021;17.52
01/06/2021;17.68
01/07/2021;17.83
01/08/2021;18.00
01/09/2021;18.20
01/10/2021;18.43
01/11/2021;18.66
01/12/2021;18.90
01/01/2022;19.09
01/02/2022;19.34
01/03/2022;19.43
01/04/2022;19.67
01/05/2022;19.97
01/06/2022;20.13
01/07/2022;20.44
01/08/2022;20.55
01/09/2022;20.68
01/10/2022;20.92
01/11/2022;20.96
01/12/2022;18.79
01/01/2023;18.76
01/02/2023;18.73
01/03/2023;18.73
01/04/2023;18.74
01/05/2023;18.61
01/06/2023;21.78
01/07/2023;21.99
01/08/2023;22.20
01/09/2023;22.27
01/10/2023;22.59
01/11/2023;22.74
01/12/2023;22.40
01/01/2024;22.64
01/02/2024;22.83
01/03/2024;23.03
01/04/2024;23.20
01/05/2024;23.31
01/06/2024;23.37
01/07/2024;23.48
01/08/2024;23.46
01/09/2024;23.40
01/10/2024;23.34
01/11/2024;23.29
01/12/2024;23.18
01/01/2025;23.13
01/02/2025;23.25
01/03/2025;23.17
01/04/2025;23.16
01/05/2025;23.32
01/06/2025;23.21
