data;valor
01/01/2013;18.02
01/02/2013;17.92
01/03/2013;17.82
01/04/2013;17.68
01/05/2013;17.57
01/06/2013;17.52
01/07/2013;17.50
01/08/2013;17.56
01/09/2013;17.62
01/10/2013;17.65
01/11/2013;17.67
01/12/2013;17.72
01/01/2014;17.79
01/02/2014;17.93
01/03/2014;17.99
01/04/2014;18.06
01/05/2014;18.11
01/06/2014;18.17
01/07/2014;18.27
01/08/2014;18.32
01/09/2014;18.44
01/10/2014;18.49
01/11/2014;18.63
01/12/2014;18.69
01/01/2015;18.73
01/02/2015;18.84
01/03/2015;18.96
01/04/2015;19.09
01/05/2015;19.23
01/06/2015;19.33
01/07/2015;19.44
01/08/2015;19.52
01/09/2015;19.64
01/10/2015;19.77
01/11/2015;19.91
01/12/2015;20.06
01/01/2016;20.20
01/02/2016;20.35
01/03/2016;20.51
01/04/2016;20.64
01/05/2016;20.77
01/06/2016;20.89
01/07/2016;20.98
01/08/2016;21.05
01/09/2016;21.11
01/10/2016;21.17
01/11/2016;21.24
01/12/2016;21.25
01/01/2017;21.31
01/02/2017;21.33
01/03/2017;21.29
01/04/2017;21.21
01/05/2017;21.05
01/06/2017;20.91
01/07/2017;20.74
01/08/2017;20.49
01/09/2017;20.26
01/10/2017;19.97
01/11/2017;19.68
01/12/2017;19.38
01/01/2018;19.15
01/02/2018;18.87
01/03/2018;18.46
01/04/2018;18.07
01/05/2018;17.76
01/06/2018;17.55
01/07/2018;17.37
01/08/2018;17.18
01/09/2018;17.03
01/10/2018;16.88
01/11/2018;16.69
01/12/2018;16.48
01/01/2019;16.37
01/02/2019;16.23
01/03/2019;16.02
01/04/2019;15.77
01/05/2019;15.55
01/06/2019;15.36
01/07/2019;15.14
01/08/2019;14.90
01/09/2019;14.65
01/10/2019;14.40
01/11/2019;14.17
01/12/2019;13.95
01/01/2020;13.83
01/02/2020;13.70
01/03/2020;13.52
01/04/2020;13.37
01/05/2020;13.25
01/06/2020;13.13
01/07/2020;13.02
01/08/2020;12.91
01/09/2020;12.78
01/10/2020;12.68
01/11/2020;12.56
01/12/2020;12.44
01/01/2021;12.41
01/02/2021;12.35
01/03/2021;12.27
01/04/2021;12.29
01/05/2021;12.30
01/06/2021;12.34
01/07/2021;12.39
01/08/2021;12.50
01/09/2021;12.66
01/10/2021;12.87
01/11/2021;13.18
01/12/2021;13.51
01/01/2022;13.73
01/02/2022;13.97
01/03/2022;14.25
01/04/2022;14.48
01/05/2022;14.74
01/06/2022;14.99
01/07/2022;15.24
01/08/2022;15.49
01/09/2022;15.71
01/10/2022;15.89
01/11/2022;16.07
01/12/2022;16.27
01/01/2023;16.44
01/02/2023;16.59
01/03/2023;16.76
01/04/2023;16.88
01/05/2023;17.00
01/06/2023;17.08
01/07/2023;17.15
01/08/2023;17.19
01/09/2023;17.20
01/10/2023;17.22
01/11/2023;17.23
01/12/2023;17.21
01/01/2024;17.22
01/02/2024;17.20
01/03/2024;17.17
01/04/2024;17.13
01/05/2024;17.10
01/06/2024;17.07
01/07/2024;17.07
01/08/2024;17.07
01/09/2024;17.07
01/10/2024;17.07
01/11/2024;17.10
01/12/2024;17.16
01/01/2025;17.26
01/02/2025;17.38
01/03/2025;17.47
01/04/2025;17.56
01/05/2025;17.64
01/06/2025;17.71
