data;valor
01/01/2013;15.94
01/02/2013;15.87
01/03/2013;15.67
01/04/2013;15.55
01/05/2013;15.43
01/06/2013;15.36
01/07/2013;15.31
01/08/2013;15.28
01/09/2013;15.28
01/10/2013;15.26
01/11/2013;15.27
01/12/2013;15.30
01/01/2014;15.32
01/02/2014;15.36
01/03/2014;15.39
01/04/2014;15.46
01/05/2014;15.54
01/06/2014;15.58
01/07/2014;15.59
01/08/2014;15.61
01/09/2014;15.62
01/10/2014;15.64
01/11/2014;15.65
01/12/2014;15.67
01/01/2015;15.68
01/02/2015;15.73
01/03/2015;15.79
01/04/2015;15.87
01/05/2015;15.94
01/06/2015;16.03
01/07/2015;16.11
01/08/2015;16.21
01/09/2015;16.31
01/10/2015;16.40
01/11/2015;16.53
01/12/2015;16.73
01/01/2016;16.86
01/02/2016;16.99
01/03/2016;17.12
01/04/2016;17.24
01/05/2016;17.34
01/06/2016;17.43
01/07/2016;17.52
01/08/2016;17.58
01/09/2016;17.62
01/10/2016;17.61
01/11/2016;17.61
01/12/2016;17.64
01/01/2017;17.64
01/02/2017;17.60
01/03/2017;17.54
01/04/2017;17.43
01/05/2017;17.27
01/06/2017;17.16
01/07/2017;17.03
01/08/2017;16.90
01/09/2017;16.72
01/10/2017;16.49
01/11/2017;16.31
01/12/2017;16.01
01/01/2018;15.84
01/02/2018;15.65
01/03/2018;15.46
01/04/2018;15.30
01/05/2018;15.18
01/06/2018;15.06
01/07/2018;14.98
01/08/2018;14.87
01/09/2018;14.81
01/10/2018;14.72
01/11/2018;14.64
01/12/2018;14.56
01/01/2019;14.47
01/02/2019;14.41
01/03/2019;14.30
01/04/2019;14.20
01/05/2019;14.00
01/06/2019;13.93
01/07/2019;13.74
01/08/2019;13.57
01/09/2019;13.40
01/10/2019;13.14
01/11/2019;13.01
01/12/2019;12.88
01/01/2020;12.77
01/02/2020;12.62
01/03/2020;12.37
01/04/2020;12.15
01/05/2020;12.12
01/06/2020;12.05
01/07/2020;12.05
01/08/2020;12.15
01/09/2020;12.10
01/10/2020;12.06
01/11/2020;12.04
01/12/2020;11.94
01/01/2021;11.92
01/02/2021;11.92
01/03/2021;11.89
01/04/2021;11.92
01/05/2021;11.96
01/06/2021;12.01
01/07/2021;12.01
01/08/2021;12.09
01/09/2021;12.20
01/10/2021;12.27
01/11/2021;12.59
01/12/2021;12.90
01/01/2022;13.00
01/02/2022;13.23
01/03/2022;13.54
01/04/2022;13.76
01/05/2022;13.97
01/06/2022;14.12
01/07/2022;14.36
01/08/2022;14.68
01/09/2022;14.88
01/10/2022;15.03
01/11/2022;15.23
01/12/2022;15.62
01/01/2023;15.77
01/02/2023;15.88
01/03/2023;16.01
01/04/2023;16.10
01/05/2023;16.19
01/06/2023;16.10
01/07/2023;16.14
01/08/2023;16.21
01/09/2023;16.25
01/10/2023;16.28
01/11/2023;16.32
01/12/2023;16.28
01/01/2024;16.31
01/02/2024;16.29
01/03/2024;16.25
01/04/2024;16.24
01/05/2024;16.24
01/06/2024;16.25
01/07/2024;16.23
01/08/2024;16.17
01/09/2024;16.18
01/10/2024;16.22
01/11/2024;16.25
01/12/2024;16.33
01/01/2025;16.42
01/02/2025;16.49
01/03/2025;16.64
01/04/2025;16.76
01/05/2025;16.84
01/06/2025;16.91
