data;valor
01/03/2011;46.33
01/04/2011;46.57
01/05/2011;46.77
01/06/2011;46.67
01/07/2011;47.00
01/08/2011;47.07
01/09/2011;46.63
01/10/2011;46.73
01/11/2011;46.63
01/12/2011;46.27
01/01/2012;45.87
01/02/2012;45.50
01/03/2012;44.80
01/04/2012;44.43
01/05/2012;42.73
01/06/2012;42.33
01/07/2012;42.10
01/08/2012;42.00
01/09/2012;41.93
01/10/2012;42.20
01/11/2012;42.60
01/12/2012;42.73
01/01/2013;42.57
01/02/2013;42.80
01/03/2013;42.13
01/04/2013;41.93
01/05/2013;41.67
01/06/2013;41.47
01/07/2013;42.00
01/08/2013;42.60
01/09/2013;42.33
01/10/2013;41.60
01/11/2013;42.17
01/12/2013;42.03
01/01/2014;42.10
01/02/2014;41.80
01/03/2014;41.53
01/04/2014;41.23
01/05/2014;41.27
01/06/2014;41.40
01/07/2014;41.57
01/08/2014;41.60
01/09/2014;41.60
01/10/2014;41.73
01/11/2014;41.83
01/12/2014;41.93
01/01/2015;42.07
01/02/2015;41.80
01/03/2015;41.40
01/04/2015;41.53
01/05/2015;41.67
01/06/2015;41.67
01/07/2015;41.50
01/08/2015;41.67
01/09/2015;41.60
01/10/2015;41.50
01/11/2015;41.73
01/12/2015;41.73
01/01/2016;41.47
01/02/2016;41.20
01/03/2016;40.83
01/04/2016;41.10
01/05/2016;41.27
01/06/2016;41.70
01/07/2016;41.80
01/08/2016;41.90
01/09/2016;42.00
01/10/2016;42.10
01/11/2016;42.40
01/12/2016;42.40
01/01/2017;42.43
01/02/2017;42.17
01/03/2017;41.93
01/04/2017;41.93
01/05/2017;41.97
01/06/2017;41.87
01/07/2017;42.03
01/08/2017;42.13
01/09/2017;42.23
01/10/2017;42.23
01/11/2017;42.47
01/12/2017;42.53
01/01/2018;42.63
01/02/2018;42.57
01/03/2018;42.67
01/04/2018;42.90
01/05/2018;43.10
01/06/2018;43.03
01/07/2018;43.03
01/08/2018;43.03
01/09/2018;42.93
01/10/2018;43.00
01/11/2018;43.33
01/12/2018;43.57
01/01/2019;43.80
01/02/2019;43.63
01/03/2019;43.47
01/04/2019;43.73
01/05/2019;43.87
01/06/2019;44.03
01/07/2019;44.23
01/08/2019;44.43
01/09/2019;44.53
01/10/2019;44.63
01/11/2019;44.83
01/12/2019;44.90
01/01/2020;45.17
01/02/2020;45.10
01/03/2020;45.10
01/04/2020;44.33
01/05/2020;43.87
01/06/2020;44.43
01/07/2020;44.67
01/08/2020;45.03
01/09/2020;45.13
01/10/2020;45.43
01/11/2020;45.80
01/12/2020;46.03
01/01/2021;46.26
01/02/2021;45.90
01/03/2021;45.73
01/04/2021;45.96
01/05/2021;46.20
01/06/2021;46.46
01/07/2021;46.66
01/08/2021;46.73
01/09/2021;46.93
01/10/2021;47.19
01/11/2021;47.36
01/12/2021;47.36
01/01/2022;47.63
01/02/2022;47.43
01/03/2022;47.09
01/04/2022;47.12
01/05/2022;46.93
01/06/2022;46.66
01/07/2022;46.76
01/08/2022;46.92
01/09/2022;47.09
01/10/2022;47.12
01/11/2022;46.86
01/12/2022;46.59
01/01/2023;46.69
01/02/2023;46.09
01/03/2023;45.99
01/04/2023;45.89
01/05/2023;45.92
01/06/2023;45.96
01/07/2023;45.92
01/08/2023;45.86
01/09/2023;45.96
01/10/2023;45.93
01/11/2023;46.09
01/12/2023;46.13
01/01/2024;46.36
01/02/2024;46.06
01/03/2024;45.96
01/04/2024;45.96
01/05/2024;46.00
01/06/2024;45.89
01/07/2024;45.96
01/08/2024;46.09
01/09/2024;46.10
01/10/2024;46.10
01/11/2024;46.27
01/12/2024;46.17
01/01/2025;46.00
01/02/2025;45.90
01/03/2025;45.77
01/04/2025;45.87
01/05/2025;46.03
01/06/2025;46.23
