data;valor
01/03/2011;49.40
01/04/2011;49.47
01/05/2011;50.70
01/06/2011;50.27
01/07/2011;49.90
01/08/2011;50.13
01/09/2011;44.80
01/10/2011;45.60
01/11/2011;44.97
01/12/2011;44.27
01/01/2012;45.53
01/02/2012;46.03
01/03/2012;45.93
01/04/2012;44.60
01/05/2012;42.60
01/06/2012;42.27
01/07/2012;42.70
01/08/2012;43.43
01/09/2012;43.53
01/10/2012;44.30
01/11/2012;45.90
01/12/2012;46.47
01/01/2013;46.03
01/02/2013;45.87
01/03/2013;43.77
01/04/2013;44.20
01/05/2013;43.63
01/06/2013;43.50
01/07/2013;41.50
01/08/2013;41.50
01/09/2013;42.27
01/10/2013;44.07
01/11/2013;46.63
01/12/2013;46.63
01/01/2014;45.47
01/02/2014;44.07
01/03/2014;45.53
01/04/2014;44.07
01/05/2014;44.30
01/06/2014;47.00
01/07/2014;44.30
01/08/2014;45.07
01/09/2014;44.77
01/10/2014;43.03
01/11/2014;44.07
01/12/2014;44.63
01/01/2015;44.97
01/02/2015;42.80
01/03/2015;42.87
01/04/2015;41.03
01/05/2015;40.97
01/06/2015;40.47
01/07/2015;40.60
01/08/2015;41.70
01/09/2015;41.70
01/10/2015;42.00
01/11/2015;41.90
01/12/2015;43.03
01/01/2016;42.67
01/02/2016;41.77
01/03/2016;42.43
01/04/2016;43.30
01/05/2016;44.37
01/06/2016;51.37
01/07/2016;49.53
01/08/2016;48.90
01/09/2016;51.10
01/10/2016;44.53
01/11/2016;45.60
01/12/2016;45.30
01/01/2017;46.80
01/02/2017;43.80
01/03/2017;46.43
01/04/2017;45.57
01/05/2017;46.37
01/06/2017;47.27
01/07/2017;46.20
01/08/2017;46.13
01/09/2017;46.80
01/10/2017;48.13
01/11/2017;46.97
01/12/2017;48.87
01/01/2018;48.20
01/02/2018;47.13
01/03/2018;48.23
01/04/2018;50.20
01/05/2018;49.90
01/06/2018;50.17
01/07/2018;50.70
01/08/2018;52.50
01/09/2018;52.43
01/10/2018;51.33
01/11/2018;51.13
01/12/2018;52.70
01/01/2019;50.70
01/02/2019;51.53
01/03/2019;51.50
01/04/2019;52.83
01/05/2019;53.87
01/06/2019;53.83
01/07/2019;54.10
01/08/2019;52.00
01/09/2019;46.53
01/10/2019;49.23
01/11/2019;43.90
01/12/2019;43.73
01/01/2020;45.07
01/02/2020;44.37
01/03/2020;43.00
01/04/2020;41.03
01/05/2020;43.73
01/06/2020;45.17
01/07/2020;45.43
01/08/2020;42.57
01/09/2020;44.87
01/10/2020;43.43
01/11/2020;43.03
01/12/2020;40.30
01/01/2021;42.90
01/02/2021;43.57
01/03/2021;41.23
01/04/2021;41.50
01/05/2021;41.20
01/06/2021;43.97
01/07/2021;42.53
01/08/2021;47.37
01/09/2021;43.70
01/10/2021;42.30
01/11/2021;41.67
01/12/2021;44.10
01/01/2022;43.40
01/02/2022;45.07
01/03/2022;39.47
01/04/2022;46.77
01/05/2022;40.57
01/06/2022;45.03
01/07/2022;35.04
01/08/2022;39.27
01/09/2022;35.43
01/10/2022;27.40
01/11/2022;31.37
01/12/2022;28.53
01/01/2023;44.18
01/02/2023;32.00
01/03/2023;39.67
01/04/2023;31.37
01/05/2023;31.43
01/06/2023;27.70
01/07/2023;0.00
01/08/2023;60.90
01/09/2023;49.97
01/10/2023;55.97
01/11/2023;29.90
01/12/2023;25.23
01/01/2024;36.53
01/02/2024;0.00
01/03/2024;34.67
01/04/2024;37.87
01/05/2024;31.70
01/06/2024;45.20
01/07/2024;29.93
01/08/2024;0.00
01/09/2024;0.00
01/10/2024;0.00
01/11/2024;0.00
01/12/2024;0.00
01/01/2025;60.93
01/02/2025;60.87
01/03/2025;55.47
01/04/2025;24.33
01/05/2025;24.33
01/06/2025;24.33
