data;valor
01/03/2011;39.87
01/04/2011;47.81
01/05/2011;33.00
01/06/2011;35.23
01/07/2011;35.09
01/08/2011;35.12
01/09/2011;35.38
01/10/2011;35.26
01/11/2011;34.81
01/12/2011;34.65
01/01/2012;34.11
01/02/2012;34.43
01/03/2012;33.46
01/04/2012;32.89
01/05/2012;30.03
01/06/2012;29.30
01/07/2012;31.17
01/08/2012;32.94
01/09/2012;32.77
01/10/2012;33.03
01/11/2012;31.57
01/12/2012;31.84
01/01/2013;33.14
01/02/2013;31.77
01/03/2013;30.48
01/04/2013;30.20
01/05/2013;31.42
01/06/2013;30.72
01/07/2013;30.65
01/08/2013;32.30
01/09/2013;29.80
01/10/2013;30.67
01/11/2013;30.91
01/12/2013;29.25
01/01/2014;32.26
01/02/2014;31.28
01/03/2014;30.44
01/04/2014;31.30
01/05/2014;30.93
01/06/2014;30.09
01/07/2014;34.09
01/08/2014;30.91
01/09/2014;30.45
01/10/2014;31.02
01/11/2014;30.74
01/12/2014;28.21
01/01/2015;35.18
01/02/2015;35.82
01/03/2015;35.41
01/04/2015;33.71
01/05/2015;35.16
01/06/2015;33.86
01/07/2015;34.77
01/08/2015;34.10
01/09/2015;33.41
01/10/2015;33.33
01/11/2015;32.61
01/12/2015;33.82
01/01/2016;34.40
01/02/2016;33.71
01/03/2016;32.56
01/04/2016;31.95
01/05/2016;34.75
01/06/2016;33.83
01/07/2016;34.85
01/08/2016;32.80
01/09/2016;35.48
01/10/2016;33.32
01/11/2016;33.48
01/12/2016;30.98
01/01/2017;32.75
01/02/2017;33.83
01/03/2017;33.73
01/04/2017;33.99
01/05/2017;34.85
01/06/2017;34.72
01/07/2017;34.82
01/08/2017;33.88
01/09/2017;36.23
01/10/2017;36.74
01/11/2017;37.42
01/12/2017;37.13
01/01/2018;38.77
01/02/2018;37.55
01/03/2018;38.62
01/04/2018;40.55
01/05/2018;39.84
01/06/2018;39.78
01/07/2018;40.07
01/08/2018;40.12
01/09/2018;40.37
01/10/2018;40.37
01/11/2018;41.08
01/12/2018;41.95
01/01/2019;43.28
01/02/2019;43.07
01/03/2019;43.16
01/04/2019;44.07
01/05/2019;44.14
01/06/2019;44.34
01/07/2019;44.48
01/08/2019;45.40
01/09/2019;46.08
01/10/2019;47.04
01/11/2019;46.85
01/12/2019;46.28
01/01/2020;45.62
01/02/2020;46.16
01/03/2020;46.21
01/04/2020;44.70
01/05/2020;45.42
01/06/2020;45.17
01/07/2020;45.44
01/08/2020;44.47
01/09/2020;44.40
01/10/2020;45.17
01/11/2020;44.62
01/12/2020;45.46
01/01/2021;45.77
01/02/2021;46.68
01/03/2021;47.08
01/04/2021;47.11
01/05/2021;47.08
01/06/2021;46.90
01/07/2021;47.50
01/08/2021;47.90
01/09/2021;48.42
01/10/2021;47.87
01/11/2021;47.43
01/12/2021;47.49
01/01/2022;47.38
01/02/2022;47.81
01/03/2022;48.13
01/04/2022;48.42
01/05/2022;48.36
01/06/2022;47.92
01/07/2022;48.56
01/08/2022;48.38
01/09/2022;48.53
01/10/2022;48.81
01/11/2022;47.85
01/12/2022;48.34
01/01/2023;48.09
01/02/2023;47.78
01/03/2023;46.24
01/04/2023;47.10
01/05/2023;46.83
01/06/2023;47.52
01/07/2023;46.80
01/08/2023;47.10
01/09/2023;46.53
01/10/2023;47.11
01/11/2023;46.80
01/12/2023;46.70
01/01/2024;46.87
01/02/2024;47.74
01/03/2024;47.22
01/04/2024;46.24
01/05/2024;46.00
01/06/2024;45.40
01/07/2024;45.74
01/08/2024;46.37
01/09/2024;46.12
01/10/2024;45.74
01/11/2024;45.74
01/12/2024;46.48
01/01/2025;46.05
01/02/2025;45.89
01/03/2025;46.08
01/04/2025;45.95
01/05/2025;45.37
01/06/2025;45.73
