data;valor
01/03/2011;37.94
01/04/2011;36.99
01/05/2011;36.63
01/06/2011;38.64
01/07/2011;38.18
01/08/2011;36.80
01/09/2011;38.01
01/10/2011;37.90
01/11/2011;38.45
01/12/2011;37.28
01/01/2012;37.02
01/02/2012;37.02
01/03/2012;38.63
01/04/2012;39.77
01/05/2012;36.56
01/06/2012;37.64
01/07/2012;35.84
01/08/2012;37.25
01/09/2012;36.66
01/10/2012;36.47
01/11/2012;35.97
01/12/2012;33.60
01/01/2013;35.32
01/02/2013;34.95
01/03/2013;36.86
01/04/2013;35.49
01/05/2013;37.83
01/06/2013;36.89
01/07/2013;35.41
01/08/2013;35.57
01/09/2013;32.65
01/10/2013;32.61
01/11/2013;35.33
01/12/2013;35.27
01/01/2014;32.93
01/02/2014;34.08
01/03/2014;34.08
01/04/2014;34.44
01/05/2014;34.25
01/06/2014;34.93
01/07/2014;34.20
01/08/2014;33.20
01/09/2014;33.08
01/10/2014;36.98
01/11/2014;32.23
01/12/2014;31.99
01/01/2015;33.86
01/02/2015;36.12
01/03/2015;34.53
01/04/2015;34.38
01/05/2015;34.69
01/06/2015;34.36
01/07/2015;35.47
01/08/2015;34.09
01/09/2015;33.37
01/10/2015;32.27
01/11/2015;33.60
01/12/2015;32.46
01/01/2016;31.28
01/02/2016;31.88
01/03/2016;34.83
01/04/2016;33.66
01/05/2016;32.85
01/06/2016;32.52
01/07/2016;33.55
01/08/2016;32.82
01/09/2016;30.20
01/10/2016;31.31
01/11/2016;34.17
01/12/2016;34.53
01/01/2017;30.90
01/02/2017;32.11
01/03/2017;34.52
01/04/2017;33.27
01/05/2017;33.65
01/06/2017;31.90
01/07/2017;31.47
01/08/2017;34.53
01/09/2017;33.65
01/10/2017;35.39
01/11/2017;34.75
01/12/2017;37.72
01/01/2018;35.34
01/02/2018;39.55
01/03/2018;43.94
01/04/2018;40.17
01/05/2018;41.44
01/06/2018;42.58
01/07/2018;41.23
01/08/2018;43.34
01/09/2018;42.64
01/10/2018;41.80
01/11/2018;40.76
01/12/2018;41.02
01/01/2019;42.94
01/02/2019;41.22
01/03/2019;44.61
01/04/2019;49.40
01/05/2019;44.67
01/06/2019;39.35
01/07/2019;45.53
01/08/2019;48.72
01/09/2019;45.49
01/10/2019;52.44
01/11/2019;45.37
01/12/2019;41.32
01/01/2020;40.36
01/02/2020;42.67
01/03/2020;42.38
01/04/2020;39.27
01/05/2020;33.77
01/06/2020;45.69
01/07/2020;37.07
01/08/2020;38.21
01/09/2020;37.29
01/10/2020;39.78
01/11/2020;37.54
01/12/2020;35.40
01/01/2021;39.69
01/02/2021;41.83
01/03/2021;44.25
01/04/2021;41.91
01/05/2021;40.70
01/06/2021;38.13
01/07/2021;38.68
01/08/2021;45.75
01/09/2021;44.41
01/10/2021;50.67
01/11/2021;45.25
01/12/2021;45.11
01/01/2022;43.40
01/02/2022;49.25
01/03/2022;49.01
01/04/2022;47.16
01/05/2022;48.57
01/06/2022;41.49
01/07/2022;42.18
01/08/2022;41.81
01/09/2022;43.01
01/10/2022;48.58
01/11/2022;53.16
01/12/2022;42.86
01/01/2023;47.61
01/02/2023;47.33
01/03/2023;44.81
01/04/2023;45.02
01/05/2023;41.80
01/06/2023;47.62
01/07/2023;43.36
01/08/2023;44.81
01/09/2023;37.69
01/10/2023;44.70
01/11/2023;44.57
01/12/2023;39.78
01/01/2024;56.83
01/02/2024;43.76
01/03/2024;45.35
01/04/2024;48.71
01/05/2024;47.50
01/06/2024;42.76
01/07/2024;47.21
01/08/2024;45.70
01/09/2024;50.97
01/10/2024;48.58
01/11/2024;51.47
01/12/2024;43.78
01/01/2025;53.66
01/02/2025;51.18
01/03/2025;43.24
01/04/2025;42.33
01/05/2025;42.27
01/06/2025;40.93
